Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
3/3/21,98.9,99.9,96.8,97,314,101714,9906410.4
3/2/21,99.8,100,98.8,99.1,183,46540,4620684.9
3/1/21,100,102.25,99.5,99.8,329,135351,13534346.35
2/25/21,101,102.5,99.9,101.5,154,63876,6463786.5
2/24/21,100,102.75,98,99.9,188,45551,4542179.05
2/23/21,102,102.5,95,98.2,343,241640,24204314.05
2/22/21,104,105,103,103,65,17587,1815948.75
2/19/21,103.25,104,102.5,104,80,47461,4895460.5
2/18/21,102.75,104,102.5,103.25,77,45919,4739402
2/17/21,102,105,100,102.25,173,62750,6358263
2/16/21,104,104,102,102.5,163,68198,6998844.5
2/15/21,106,106.25,101.75,102.75,335,132408,13776767
2/12/21,105,109,105,107.5,209,158569,17013872.5
2/11/21,105,105,95.1,103.25,406,196459,19682921.2
2/10/21,106.25,108.25,103.25,105,239,175540,18616271.25
2/9/21,108.5,108.5,106.25,107,209,71439,7636284.25
2/8/21,112,112,107.25,108,161,36863,4019785
2/5/21,109.5,113,109.5,111.25,216,209152,23301008.5
2/3/21,102,109.5,101.75,107.25,341,168895,17759158.25
2/2/21,109,109,100,101.25,494,307398,31995394
2/1/21,110.75,110.75,109,109,232,108104,11852708.75
1/29/21,112.25,113,109.75,110.25,276,173194,19187197.5
1/27/21,113.75,113.75,112,112.25,206,88587,10001029
1/26/21,113.75,114,112.75,113.25,176,150796,17082968
1/25/21,112.75,114,112,113.5,285,203456,23052728.25
1/22/21,111,113.5,110,111,322,345532,38554690.25
1/21/21,110.5,112,109.25,110.75,321,184093,20393945
1/20/21,110.25,111,110,110.25,302,131497,14523704.5
1/19/21,112,112.5,110,110.25,317,188107,20888167.75
1/18/21,113,113.5,111.25,111.75,364,182551,20467511.25
1/15/21,112.5,113.25,111,112.75,266,215360,24170568.5
1/13/21,112.5,113,111,111.5,280,213851,23926154.75
1/12/21,112.5,112.5,112,112.25,176,107383,12034801.25
1/11/21,113.25,113.25,111.25,111.75,231,189221,21190690
1/8/21,111.25,113.5,111,112.75,259,239915,26926355.75
1/7/21,112,112.4,111,111.7,248,362613,40554697.8
1/6/21,109.8,112.4,109.5,111.4,397,617161,68048554.4
1/5/21,109.5,110.9,108.3,109.6,258,174352,19121322.4
1/4/21,108,109.5,108,108.1,327,214750,23267562
12/31/20,107.1,108.5,107.1,108,265,176506,19050811.3
12/30/20,108,108,107.4,107.5,284,238266,25630172.2
12/28/20,109,109.2,107.3,108,201,60513,6543411.9
12/24/20,107.8,109.5,107.8,109,161,153840,16750023.2
12/23/20,106,107.9,106,107.3,131,83182,8907991.7
12/22/20,105.8,106.5,105,106.3,236,102478,10814806.9
12/21/20,107,107,105.7,106,188,64565,6846101.5
12/18/20,107,107.5,105.2,106.1,173,38352,4080453.1
12/17/20,108,108.4,106.5,107.1,137,31476,3376312.9
12/16/20,108.9,109.9,107,107.6,186,141525,15227888.2
12/15/20,108.9,109.9,108.5,108.9,169,114423,12467417.1
12/14/20,107,110,107,109.1,163,83749,9109649.2
12/11/20,108.9,108.9,106.9,108.4,233,146687,15800931
12/10/20,109.6,109.7,107.6,107.9,226,114661,12390723.5
12/9/20,110,112,107.9,109,357,153108,16807367.4
12/8/20,106,111,105.6,109.7,562,454191,49561343.6
12/7/20,102.8,106,102,104.7,369,440809,45922008.9
12/4/20,101,102.9,99.5,102,375,328004,33250908.8
12/3/20,98.1,101.7,97,100.3,382,270457,26817556.4
12/2/20,98.9,98.9,98.1,98.3,100,29167,2872648
12/1/20,97.2,98.8,97.2,97.9,192,154514,15080239.4
11/30/20,99,99,97,97.2,344,167313,16279081.5
11/27/20,99.9,99.9,98.5,99,179,124435,12323673.6
11/26/20,99.2,100,98.8,99,261,212933,21093783
11/25/20,96.2,100.8,96,98.9,422,197924,19619199.3
11/24/20,94.3,97.1,94.1,96.1,277,277222,26446118.8
11/23/20,94.4,94.5,93.9,94,131,113011,10626223.2
11/20/20,94.4,94.7,94,94.4,143,84360,7968728.8
11/19/20,94.1,95,94,94.2,151,246392,23229757
11/18/20,94,95,93,94.4,257,119134,11237043.9
11/17/20,92,93.6,92,93,210,122789,11417268.9
11/16/20,91.2,92,90.1,91.2,158,107097,9750292.4
11/13/20,92.5,92.5,90.3,91.2,149,52355,4774607.2
11/12/20,92.5,92.5,90,91.1,228,102803,9283792.8
11/11/20,92.2,93,90.1,91.9,399,195079,17778856.4
11/10/20,97,97,90.1,93,840,481948,44889096.2
11/9/20,102,104.8,99,100.5,829,885356,89119996.1
11/6/20,94.5,100.5,94,98.8,794,808788,78582522
11/5/20,94.4,95,93.8,94,543,529731,49932844.4
11/4/20,92,94.2,92,94,611,644468,60145498
11/3/20,89,92,89,91.9,406,289265,26281753.2
11/2/20,86.1,89.4,86,88.8,615,425759,37694507.8
10/29/20,85,88,85,87.4,867,900534,78186660.6
10/28/20,83,83.5,81,81.7,212,79205,6508878.3
