Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
1/4/21,350.1,351,340,343,666,247843,85298710.5
12/31/20,349.4,350,345.1,347.3,627,475483,166182780.2
12/30/20,340,348,338.3,345.1,736,1387058,472704596.3
12/28/20,339,339.5,335,338.3,376,128538,43426386.7
12/24/20,329.4,339.9,328,337.9,752,467105,155821393.4
12/23/20,328.8,329.9,327,327.9,318,92873,30548385.6
12/22/20,327.9,329,324,327.2,201,39539,12951447.1
12/21/20,319.9,329.9,313.5,321.8,486,231374,75589425.6
12/18/20,318.4,318.5,312,313.1,534,122064,38282996
12/17/20,320,320,314,315,764,149775,47196392.2
12/16/20,320,327.9,317.8,318.5,413,108309,34660415
12/15/20,327,327,320,320.2,441,307753,98690580.1
12/14/20,330,330,322,325,402,133747,43635295
12/11/20,320.9,330.9,317.7,327.3,458,115031,37312179.2
12/10/20,326,328.4,319.9,320.9,607,213046,68717676
12/9/20,329.9,329.9,324.5,325.7,388,86455,28234840.2
12/8/20,330.1,331,327.7,328.2,532,205107,67420248.1
12/7/20,338,339.9,333,336.3,498,225709,76006348.9
12/4/20,337.6,338.8,335,336.8,262,141699,47703545
12/3/20,337,337.5,334,336,251,231030,77557487.4
12/2/20,340.5,341,335,335.6,327,119420,40284209.1
12/1/20,339,342.7,338.5,340.4,431,184083,62663273.8
11/30/20,341,342,336.5,338.3,868,349895,118352881.6
11/27/20,332.8,337.5,330,334,470,269375,89977488.8
11/26/20,329,339,329,330.3,812,428622,142442925.7
11/25/20,315,334.9,315,332.4,1468,1414530,461465700.7
11/24/20,311,317.5,310,314.1,1024,652557,205130203.5
11/23/20,317,317,308.6,309.4,1553,1000428,310017109.5
11/20/20,324.8,324.8,317,318,850,277364,88410592.8
11/19/20,326.1,330,320,320.5,458,338204,108883845.9
11/18/20,334.9,334.9,325.2,329.7,288,162994,53983741.1
11/17/20,324.1,332.5,319,331,1115,979356,320722171.3
11/16/20,326,329,321.1,323.1,354,270286,87451890.4
11/13/20,325,331.9,322,324.1,571,544039,176389436.6
11/12/20,340,340,320,327.6,866,484366,157911621.7
11/11/20,331,345,300,336.6,2558,2494812,802949153.6
11/10/20,350,365,323,330.8,1874,681358,231803918.2
11/9/20,400,400,369,375.6,1294,554225,208354083.7
11/6/20,400,425,394,396.3,2147,866947,350756003.5
11/5/20,351,399,351,390.5,2677,1574060,588238008.1
11/4/20,325,333,325,328.5,584,555618,182259698
11/3/20,313.9,324.9,310,323,645,558369,176669710.6
11/2/20,305,313,300,310.7,580,662184,202479321.4
10/29/20,300,316,299.9,314.3,433,381589,117877552.6
10/28/20,309,315,298,299.9,424,209954,63486825.7
10/27/20,310,318,307,309,297,161185,50164560
10/26/20,291,312.5,290,307.8,397,154248,46850172.1
10/23/20,321,323,309,313.2,385,134012,42372281.6
10/22/20,299.9,325,290.1,319.7,333,111916,35321137.8
10/21/20,328.2,328.2,300,310,494,190350,59298191.1
10/20/20,334.8,335,318,328.2,346,140869,46459705.1
10/19/20,332,347,331,334.8,325,124116,42031853.8
10/16/20,332,335,318,330.5,462,170129,55556235.6
10/15/20,328.9,345,328,331.3,733,237971,79650000.7
10/14/20,295,329,293,326.2,835,461375,142740260.1
10/13/20,250,290,250,285.8,504,374087,102694375.8
10/12/20,223,245,223,240.6,413,386994,91204922.8
10/9/20,215.3,225,215,218.9,107,95584,21017610.1
10/8/20,207.5,222.9,207.5,215.3,263,162606,35211792.6
10/7/20,210,212,205,209.7,131,61287,12856029.8
10/6/20,192,215,190.1,202.9,283,121708,24900500
10/5/20,218,218,199,200.8,374,215451,44021946.4
10/2/20,225,225,223,224.3,104,57216,12864875.4
9/30/20,225,225,222,224.1,87,34256,7672776.9
9/29/20,220,225,217,223.6,122,81709,18163684.5
9/28/20,218,225.1,217,224.7,142,95357,21226906.3
9/25/20,220,220,216,217.4,63,27460,5977566.8
9/24/20,220,222,217.5,220.1,118,106892,23437408
9/23/20,220,220,211,216.2,146,76824,16574764.7
9/22/20,206.5,219,206,214.4,199,159296,33692722
9/21/20,202,207,200,204.7,107,179785,36567477.8
9/18/20,204,204,200.2,202.7,70,31712,6449443.9
9/17/20,205,210,200,203.8,199,183808,37720007.5
9/16/20,199.9,205,199.9,203.1,197,159784,32592568.1
9/15/20,193,199.8,193,198.3,299,297495,58989061.9
9/14/20,186.5,193.7,186.5,192.5,107,170765,32493998.3
9/11/20,187.2,187.5,186,186.3,50,41122,7673365.7
9/10/20,187,188,186,187.5,92,145656,27297369.8
9/9/20,187.5,188.9,186.2,186.7,86,94274,17707378.6
9/8/20,184.5,189.9,184.5,187.4,136,81627,15322381.7
9/7/20,180.9,184.9,180.9,184,109,29851,5480367.9
9/4/20,179.5,184.9,177.5,180.9,135,71640,12914232.6
9/3/20,181,182,179.5,179.9,134,41813,7541310.9
9/2/20,180,186.9,180,182.9,172,66105,12148621.3
