Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
2/8/21,62.5,62.5,59.3,59.5,234,482785,29447963.7
2/5/21,63.5,64.9,61,61.9,180,151891,9456216.1
2/3/21,63,65,59,62.4,373,942393,58115621.2
2/2/21,60.1,63.6,56,59.8,515,2570779,157516202.8
2/1/21,66.5,67,59.9,63.6,437,1364001,87513931
1/29/21,69,70,66.4,66.7,536,2411149,162251194.8
1/27/21,71.6,71.6,68.1,68.6,618,1810707,126256909.5
1/26/21,74,75.9,70,71.6,811,3998924,292673556.4
1/25/21,67,78,66,73.4,1921,7700889,555433205.5
1/22/21,62,67.3,62,65.9,842,2469271,161001165.3
1/21/21,60,62.1,59.4,61.2,370,967797,58654871.1
1/20/21,60.2,61.5,57.5,60.2,510,1596623,94053760.1
1/19/21,63.9,63.9,58,60.2,563,1209983,74143887.1
1/18/21,63.5,66.1,62,63.2,805,3022464,193459780.6
1/15/21,57,65,56.8,62.7,1081,2831991,172127406.2
1/13/21,55,57.5,55,56.8,756,2420968,136588141
1/12/21,52.2,55.1,51.7,54.6,685,1737058,93355579.8
1/11/21,53,53,52,52.2,397,1024769,53623778.5
1/8/21,53,53.5,52,53,276,523083,27622736.8
1/7/21,53.6,53.9,53,53.1,384,808070,42944686.9
1/6/21,55,55,53.1,53.7,365,3658031,196818750
1/5/21,54,55,54,54.6,537,1730935,94321090.5
1/4/21,52,54,52,53.9,563,1150248,61332457.1
12/31/20,51.8,52.4,51.4,52,481,948315,49120353.2
12/30/20,52.6,52.8,51.7,51.9,318,445556,23173657.7
12/28/20,53.2,53.2,51.9,52.2,367,465850,24311104.3
12/24/20,52,53.6,51.6,53.2,423,649908,34377462.3
12/23/20,53.5,53.7,51.3,51.9,643,1610908,83873630.4
12/22/20,51.5,53.6,51.5,53,1126,2266941,120090629.9
12/21/20,50.2,51.8,50.1,51.1,628,1511132,77095999.2
12/18/20,49.5,51,49.2,50.1,377,1273640,63716602.3
12/17/20,50.7,50.9,49,49.7,389,684507,33971551.6
12/16/20,49.5,51.1,48.1,50.2,694,1030304,51294420.5
12/15/20,50,50,48.2,48.9,790,1770509,86968988.5
12/14/20,49,52.5,49,49.7,2888,5606442,282503643.6
12/11/20,42.7,48.7,42.6,47.6,1949,4643921,212756133.2
12/10/20,41.1,42.7,41.1,42.5,441,1245019,52686644.3
12/9/20,41,43,41,42.3,451,909441,38234195.9
12/8/20,40,41.5,39.5,40.8,609,1194765,48367757.9
12/7/20,41,41.2,39.9,40.1,579,1535991,62042529.4
12/4/20,40,41.2,39.5,40.9,924,1169801,47471575.3
12/3/20,42.7,43.3,42.1,42.7,1231,2996601,128018084.5
12/2/20,44,44.2,42.7,43,1070,2462168,106529271.9
12/1/20,42.5,44,42.5,43.8,1284,3116033,135549573.8
11/30/20,40,43.1,39.9,42.3,1756,4185531,173686023.8
11/27/20,39.1,39.9,39,39.6,766,2401125,94755939.8
11/26/20,38.6,39.2,38.6,39.1,802,2806883,109451551.1
11/25/20,38.1,38.9,37.6,38.5,1557,3740406,143663620.9
11/24/20,36.9,36.9,36,36,235,377090,13672976.3
11/23/20,36.5,37,36.2,36.9,419,1034054,37872206.8
11/20/20,36,36.6,35.9,36.3,434,1173494,42376349.6
11/19/20,35.8,36.2,35,35.9,400,2331089,83581159.8
11/18/20,35,36.4,34.5,35.5,459,2449507,86854901.5
11/17/20,33.8,34.8,33.8,34.6,287,1065784,36746460.1
11/16/20,33.4,34.2,33.4,33.7,172,971565,32625153
11/13/20,33.9,34,33.1,33.4,101,402533,13494439.1
11/12/20,33.5,34,33.4,33.5,111,156154,5237359.8
11/11/20,34.5,34.8,33.5,33.7,128,429280,14706327
11/10/20,34,34.8,34,34.4,229,1336891,45948347.7
11/9/20,34.2,34.6,33.8,33.9,205,343651,11731738
11/6/20,33.8,34.2,33.8,34.1,269,1263284,42978944.3
11/5/20,33.5,34,33.4,33.7,194,922094,31079434
11/4/20,32.8,33.8,32.8,33.5,142,553859,18444507
11/3/20,32.4,33.1,32.2,32.7,62,168889,5529616.6
11/2/20,32.5,32.6,31.9,32,73,91789,2949547.6
10/29/20,31.5,32.7,31.3,32.5,78,61103,1980287.5
10/28/20,32,32.7,31.5,31.7,139,830953,26849033.4
10/27/20,32,32.8,32,32.6,105,769101,25057818.3
10/26/20,31.6,32,30.8,31.6,121,146193,4613382
