Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
7/22/20,29.7,29.9,29.5,29.5,35,117663,3474090.8
7/21/20,29.9,30,29.5,29.7,29,11175,331879.8
7/20/20,29.6,30,29.6,29.9,44,41220,1229391
7/17/20,29.4,29.5,29,29.5,52,425188,12542213.2
7/16/20,29,29.5,29,29.3,23,51619,1512723.5
7/15/20,28.7,29.4,28.5,29.2,42,57024,1631956.2
7/14/20,28.5,29.5,28.5,29,114,519194,15060796.3
7/13/20,28,28.7,26.3,28.5,217,1112734,31371975.7
7/10/20,29.1,29.3,28.5,28.9,168,499360,14451019.5
7/9/20,30,30.3,29.5,29.7,30,77003,2275209.7
7/8/20,30.4,30.4,29.3,29.5,55,30647,908461.6
7/7/20,30.4,30.5,30,30,44,99981,3005945.6
7/6/20,29.8,30.4,29,30,150,620296,18329601.5
7/3/20,30.5,30.5,28.9,29,102,84943,2474158.3
7/2/20,30.6,30.6,29,30.1,129,267707,8026499
7/1/20,30.5,31,30.3,30.6,34,239800,7420153.5
6/30/20,30.7,30.7,30.3,30.5,82,149732,4549138.6
6/29/20,31.8,31.8,30.5,30.6,129,63417,1961847.6
6/26/20,31.5,32.4,31.5,31.8,99,92746,2967289.3
6/25/20,30.5,31.5,30.5,31.1,82,185508,5708819.3
6/24/20,30,30.4,30,30,110,533009,16022408.8
6/23/20,29.9,30.5,29.7,30,210,691882,20717482.5
6/22/20,29.6,29.9,29.5,29.7,123,514937,15298528.6
6/19/20,29.2,29.7,29.2,29.5,107,524493,15401975.6
6/18/20,28.9,29.3,28.9,29,71,188249,5463701.1
6/17/20,28.5,29.2,28.4,28.8,102,292417,8411601.5
6/16/20,28.3,28.9,28.3,28.5,113,320735,9133531.2
6/15/20,28.2,28.4,27.8,28,78,198450,5558082.6
6/12/20,28.5,28.5,27.8,28.2,64,59364,1660411
6/11/20,28.3,28.7,28.2,28.5,70,160727,4576461
6/10/20,28.4,28.4,28,28.1,65,98612,2773780
6/9/20,27.6,28.2,27.5,28,151,320548,8955237.9
6/8/20,27,27.5,27,27.3,101,296369,8072126.1
6/4/20,26.9,26.9,26.6,26.8,21,7577,202773.6
6/3/20,26.8,26.8,26.4,26.5,55,373339,9895425.2
6/2/20,26.4,26.4,26.1,26.2,80,135095,3535087.9
6/1/20,26.8,26.8,26.3,26.4,161,1071292,28186303.7
