Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
6/11/20,129.8,129.8,129.8,129.8,16,925,120065
6/10/20,130,130,129,129.4,37,3899,504975.3
6/9/20,130,130,128.2,129.8,63,70747,9196772.9
6/8/20,130,130,128.1,130,14,396,51394.5
6/4/20,130,130,130,130,19,29248,3802240
6/3/20,130,130,129.7,130,6,4241,551327
6/2/20,130,130,129.6,130,33,6119,795326.9
6/1/20,130.4,130.4,130,130,22,1392,181112.3
5/29/20,134,134,130.1,130.4,24,4215,550771.5
5/28/20,134,134,133,133,15,1487,197785
5/27/20,130.1,130.1,130,130,32,10260,1333911
5/26/20,133,134,130,131.2,34,3506,459434
5/22/20,135,135,134.8,134.9,11,2040,275247.3
5/21/20,137,137,134,134.4,19,1719,233050.7
5/20/20,136,138,130,130.2,18,2822,373764.9
5/19/20,134,135,130,131.4,25,5392,711937.6
5/18/20,131,135,130,130.9,34,4908,646344.1
5/15/20,130,133,126,129.8,38,3869,502825.1
5/14/20,125,130,123,125,29,31558,3942739.3
5/13/20,120,130,119,124.3,13,231,28436.5
5/12/20,115,115,107,109.7,49,20043,2247232.1
5/11/20,120,120,120,120,8,470,56400
3/20/20,124,124,123,123.6,11,3350,414163.2
3/13/20,131.5,139.5,123.5,134,71,5342,694555.1
3/12/20,133,140,131,132.8,50,7883,1043543
3/11/20,135.1,165,135.1,140,19,9322,1306768.9
3/10/20,143,143,131,135.1,53,17540,2398787.1
3/6/20,150,150,142,142.7,39,6767,983565
3/5/20,153,155,150,150,28,6473,971750.7
3/4/20,155,155,153,153.7,13,1251,192681.2
3/3/20,157.5,157.5,156,156.2,17,3219,505517
3/2/20,155,157.5,155,155.1,6,465,72110.4
2/28/20,154.9,154.9,154.9,154.9,2,210,32529
2/27/20,158.6,158.6,157.5,157.5,3,3410,537086
2/26/20,158.6,160,157.1,158.7,12,212,33634.8
2/25/20,159.6,159.6,158,158.6,10,250,39602.6
2/24/20,,,,160,1,307051,49128160
2/20/20,161,162,160,160,18,5061,809970
2/19/20,160,161,160,161,8,313,50261.3
2/18/20,161.8,169,160,160,38,1780,287733.5
2/17/20,160,161,159,159.6,13,1021,163089.5
2/14/20,162,163,160,160,23,1334,214147
2/13/20,160,160,156.5,156.6,7,4981,794422
2/12/20,160,160.5,157,160,11,5247,839462.6
2/11/20,157,160,157,160,10,958,153268
2/10/20,162,162,159,159.3,23,782,125297.1
2/7/20,161.5,162,160.3,161.2,6,210,33847.1
2/6/20,163.7,165,161.5,164.6,12,1834,302423.5
2/5/20,163.7,163.7,163.7,163.1,2,95,15551.5
2/3/20,160,163.7,160,163.1,5,55,8875.5
1/31/20,160.2,163.5,160,163.1,8,1989,324387
1/29/20,157,163.6,157,163.6,7,532,86907.6
1/28/20,157,164.9,156,156.2,15,2907,453964.5
1/27/20,163,163,155,158.1,22,9548,1495704
1/24/20,164.8,165,163,164.5,9,1255,206940.1
1/23/20,162.2,164.9,162.2,164.8,3,308,50767.6
1/22/20,169.8,169.8,162.2,162.3,12,1140,186076.8
1/21/20,165,169.7,165,165.4,3,115,19017.3
1/20/20,162,162,162,162.1,2,12,1944
1/14/20,163,169.8,162,162.1,3,104,16858.8
1/13/20,169.9,169.9,169.9,163.7,1,2,339.8
1/9/20,160,164.9,160,163.7,11,8860,1450395
1/8/20,165.5,165.5,160,160,31,14787,2369582.8
1/7/20,166.6,166.6,166.5,166.5,13,4802,799533.2
1/6/20,169.8,169.8,169.8,170.7,1,5,849
1/3/20,170.5,171,170,170.7,31,9903,1690389
1/2/20,173.9,173.9,173.9,174.9,1,30,5217
12/31/19,170.2,175,170.2,174.9,3,240,41836
12/30/19,175,175,174.9,175,2,135,23621.5
12/27/19,174.9,174.9,170,174.8,10,2911,496848.4
12/26/19,170,174.9,150,169.6,26,3770,609697
12/24/19,174.7,177,170,170,22,8836,1535442
12/23/19,170,173.9,170,170,9,656,111526.9
12/20/19,171.5,174.7,170,170,16,39385,6715709.4
12/19/19,172.5,174.9,172.5,174.1,2,3,522.3
12/18/19,173,175,173,174.1,7,656,114028
12/17/19,173.9,173.9,170,170.1,6,108,18383.4
12/16/19,174,174,168.2,170,17,1051,178998.7
12/13/19,171.3,174.9,170.1,170.9,7,503,85965.1
12/12/19,175,175,171.1,171.8,3,68,11642.6
12/10/19,172,172,171.8,171.8,3,187,32131.6
12/9/19,177,177,170.2,171.3,9,359,61456
12/6/19,175,176.8,170,170.5,16,9746,1661899.1
12/5/19,179,179,174,174.5,22,21113,3736283.3
12/4/19,180,180,170.1,175.1,11,5807,1040999.2
12/3/19,180.1,180.1,177.3,179.3,19,7899,1416710.4
12/2/19,183,183,182,182.1,37,53486,9781778.4
11/29/19,184.9,184.9,180.1,182.9,25,19018,3480115.1
11/28/19,182,188.2,180,182.8,67,71340,12912906.3
11/27/19,178,180,178,180,18,62853,11309128.4
11/26/19,177.3,180,177.3,178,27,52091,9276174.4
11/25/19,182.9,182.9,177.1,177.1,34,23851,4287263
11/22/19,181,182.9,178.5,181,53,32275,5813053.4
11/21/19,172,183,172,180,92,490955,88376040.3
